City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
bumba,2.18,22.47,71.67,94,99,1.23,CD,1590275900
naze,28.37,129.48,73.4,94,75,21.92,JP,1590275900
luderitz,-26.65,15.16,57.2,82,0,2.24,NA,1590275900
oranjemund,-28.55,16.43,57.09,87,0,7.61,NA,1590275900
kilinochchi,9.4,80.4,82.22,84,45,10.83,LK,1590275900
bella union,-30.28,-57.6,55.26,77,96,9.55,UY,1590275900
sabla,12.75,4.71,91.31,29,84,5.44,NG,1590275900
stutterheim,-32.57,27.42,56.37,40,0,6.15,ZA,1590275900
broome,42.25,-75.83,75.0,60,1,4.7,US,1590275901
saint-leu,-21.15,55.28,66.2,72,75,6.93,RE,1590275901
chapleau,47.84,-83.4,84.2,20,40,9.17,CA,1590275901
syasstroy,60.14,32.57,37.98,78,0,6.73,RU,1590275901
ghanzi,-21.57,21.78,53.13,47,0,4.36,BW,1590275901
victoria,22.29,114.16,78.01,78,75,5.99,HK,1590275622
portland,45.52,-122.68,64.0,44,90,3.36,US,1590275721
tubuala,9.52,-79.03,86.0,74,40,6.93,PA,1590275901
kantang,7.41,99.52,80.01,87,100,0.47,TH,1590275901
rio grande,-32.03,-52.1,60.01,99,99,5.99,BR,1590275901
omboue,-1.57,9.26,78.82,90,90,5.3,GA,1590275901
vidisha,23.53,77.82,84.22,18,22,5.95,IN,1590275901
goure,13.98,10.27,82.71,51,6,8.46,NE,1590275901
cherskiy,68.75,161.3,34.68,78,1,9.55,RU,1590275901
seinajoki,62.79,22.83,46.99,70,100,4.7,FI,1590275902
havelock,34.88,-76.9,80.01,74,12,5.99,US,1590275902
pilar,-9.6,-35.96,75.2,94,6,3.36,BR,1590275902
praia,14.92,-23.51,73.4,73,20,11.41,CV,1590275902
joetsu,37.15,138.24,69.01,81,3,3.0,JP,1590275902
bereda,43.27,-7.54,54.0,93,100,10.0,ES,1590275902
dunedin,-45.87,170.5,53.38,65,100,3.06,NZ,1590275902
faya,18.39,42.45,68.0,63,33,2.21,SA,1590275902
sur,22.57,59.53,83.57,70,0,12.01,OM,1590275902
shelburne,44.08,-80.2,78.8,47,20,9.17,CA,1590275902
port augusta,-32.5,137.77,55.4,71,75,11.41,AU,1590275902
alice springs,-23.7,133.88,46.4,61,75,5.82,AU,1590275902
souillac,-20.52,57.52,68.0,88,20,2.24,MU,1590275902
hambantota,6.12,81.12,81.64,82,98,16.64,LK,1590275902
tual,-5.67,132.75,82.35,82,98,24.09,ID,1590275902
narsaq,60.92,-46.05,53.6,30,18,12.75,GL,1590275902
matagami,49.75,-77.63,69.8,18,1,6.93,CA,1590275794
morondava,-20.28,44.28,70.3,71,0,8.52,MG,1590275902
komsomolskiy,40.43,71.72,73.24,32,0,1.81,UZ,1590275902
itarema,-2.92,-39.92,77.83,90,96,8.14,BR,1590275903
palmer,42.16,-72.33,66.2,29,20,10.29,US,1590275903
nyurba,63.28,118.33,63.01,61,42,3.56,RU,1590275903
grindavik,63.84,-22.43,48.2,66,24,10.29,IS,1590275903
codrington,-38.27,141.97,51.44,74,82,12.46,AU,1590275903
preobrazheniye,42.9,133.91,47.82,94,100,3.27,RU,1590275903
deputatskiy,69.3,139.9,34.59,100,100,3.33,RU,1590275903
urengoy,65.97,78.37,55.2,80,100,7.43,RU,1590275847
bauchi,10.5,10.0,84.34,49,69,6.08,NG,1590275903
kavaratti,10.57,72.64,84.58,76,41,12.17,IN,1590275903
katsuura,35.13,140.3,71.01,93,40,3.36,JP,1590275903
qaqortoq,60.72,-46.03,53.6,30,28,12.75,GL,1590275903
plainfield,40.62,-74.42,63.0,67,90,13.87,US,1590275903
twin falls,42.56,-114.46,62.6,33,1,20.8,US,1590275903
mae sai,20.43,99.88,75.99,88,100,3.36,TH,1590275903
florianopolis,-27.61,-48.5,69.8,40,9,17.22,BR,1590275652
port hardy,50.7,-127.42,53.6,87,90,5.82,CA,1590275903
klaksvik,62.23,-6.59,44.6,100,100,21.92,FO,1590275903
ust-maya,60.42,134.53,54.25,63,99,2.66,RU,1590275904
olafsvik,64.89,-23.71,48.18,64,47,6.67,IS,1590275904
bereznik,62.86,42.71,31.28,97,0,1.79,RU,1590275904
shagonar,51.53,92.8,54.75,52,0,1.79,RU,1590275904
provideniya,64.38,-173.3,38.8,85,100,5.37,RU,1590275904
pevek,69.7,170.31,30.69,95,89,3.94,RU,1590275904
praya,14.92,-23.51,73.4,73,20,11.41,CV,1590275904
midland,32.0,-102.08,84.2,48,40,23.04,US,1590275890
nanakuli,21.39,-158.15,84.2,62,1,9.17,US,1590275904
praia da vitoria,38.73,-27.07,66.2,93,40,11.23,PT,1590275904
grinnell,41.74,-92.72,73.4,73,20,10.29,US,1590275853
mosbach,49.35,9.14,52.0,1,47,8.57,DE,1590275904
kruisfontein,-34.0,24.73,52.52,83,0,4.32,ZA,1590275904
cabo san lucas,22.89,-109.91,86.0,42,5,10.29,MX,1590275877
amga,60.9,131.96,55.13,40,97,4.83,RU,1590275904
gander,48.97,-54.59,42.8,52,75,19.46,CA,1590275904
san cristobal,7.77,-72.22,91.4,41,40,25.28,VE,1590275904
dickinson,29.46,-95.05,87.01,70,40,16.11,US,1590275904
tuy hoa,13.08,109.3,79.36,83,100,7.99,VN,1590275702
turukhansk,65.82,87.98,57.85,79,96,9.35,RU,1590275904
ranong,9.97,98.63,81.57,81,100,3.29,TH,1590275905
whitecourt,54.15,-115.69,59.0,51,75,5.82,CA,1590275905
topana,44.82,24.52,47.97,77,3,5.28,RO,1590275905
mongar,27.27,91.24,53.64,89,77,5.03,BT,1590275905
airai,-8.93,125.41,61.38,100,94,3.67,TL,1590275905
touros,-5.2,-35.46,77.0,94,75,8.05,BR,1590275905
mecca,21.43,39.83,84.7,32,0,2.46,SA,1590275875
yar-sale,66.83,70.83,49.06,79,99,8.84,RU,1590275905
hun,29.13,15.95,63.27,64,0,5.08,LY,1590275905
port moresby,-9.44,147.18,78.8,88,40,11.41,PG,1590275905
kainantu,-6.29,145.87,69.8,82,47,1.59,PG,1590275905
ipixuna,-1.76,-48.8,78.8,88,75,3.36,BR,1590275905
los llanos de aridane,28.66,-17.92,68.0,88,100,16.11,ES,1590275905
upata,8.01,-62.4,84.0,69,40,5.01,VE,1590275905
vanavara,60.34,102.28,66.74,45,74,1.7,RU,1590275905
la palma,33.85,-118.05,78.01,49,20,6.93,US,1590275905
cotonou,6.37,2.42,84.2,79,40,10.29,BJ,1590275905
mandal,25.45,74.57,85.66,36,19,14.61,IN,1590275905
antofagasta,-23.65,-70.4,59.0,77,20,8.05,CL,1590275906
caceres,39.52,-6.37,73.0,58,46,1.01,ES,1590275906
sinnamary,5.38,-52.95,78.96,88,60,9.04,GF,1590275906
tsabong,-26.02,22.4,58.23,38,0,3.83,BW,1590275906
vao,-22.67,167.48,74.23,77,26,21.12,NC,1590275906
ciudad del maiz,22.4,-99.6,82.56,52,0,13.09,MX,1590275906
lata,40.16,-8.33,62.01,86,9,0.78,PT,1590275906
konakovo,56.7,36.77,39.13,98,74,3.4,RU,1590275906
wencheng,33.06,113.8,71.49,49,93,7.25,CN,1590275906
north platte,41.12,-100.77,73.99,64,90,12.75,US,1590275906
ceres,37.59,-120.96,84.2,10,1,12.75,US,1590275906
oussouye,12.48,-16.55,77.0,83,24,4.7,SN,1590275906
sisimiut,66.94,-53.67,37.69,79,12,20.2,GL,1590275906
severo-kurilsk,50.68,156.12,42.04,66,44,7.18,RU,1590275906
usak,38.5,29.42,40.64,79,0,7.18,TR,1590275693
jinxi,30.43,116.29,77.09,67,1,1.92,CN,1590275906
kindu,-2.95,25.95,71.17,93,51,0.56,CD,1590275906
warrnambool,-38.38,142.48,51.01,89,75,13.18,AU,1590275907
jalingo,8.88,11.37,83.03,66,100,3.38,NG,1590275907
okhotsk,59.38,143.3,46.35,58,60,2.51,RU,1590275907
qasigiannguit,68.82,-51.19,39.2,69,80,6.93,GL,1590275907
acari,-15.43,-74.62,68.43,62,20,3.38,PE,1590275907
ilulissat,69.22,-51.1,39.2,69,66,6.93,GL,1590275869
tiarei,-17.53,-149.33,84.2,70,40,10.29,PF,1590275907
kavieng,-2.57,150.8,84.33,72,99,3.13,PG,1590275907
marawi,8.0,124.29,75.99,86,66,7.0,PH,1590275907
cacule,-14.5,-42.22,70.81,80,43,4.72,BR,1590275907
chichi,7.27,8.93,81.18,76,97,7.23,NG,1590275907
lompoc,34.64,-120.46,64.4,63,1,16.11,US,1590275634
hwange,-18.37,26.5,56.59,62,0,1.81,ZW,1590275907
weligama,5.97,80.42,80.96,85,71,11.23,LK,1590275907
shitanjing,39.23,106.34,55.99,22,95,1.99,CN,1590275907
doha,25.29,51.53,86.0,79,0,3.36,QA,1590275639
portobelo,9.55,-79.65,86.0,74,40,6.93,PA,1590275907
powell river,49.85,-124.54,61.0,59,90,9.17,CA,1590275626
iqaluit,63.75,-68.51,26.6,79,90,18.34,CA,1590275908
kaitangata,-46.28,169.85,50.0,78,100,8.01,NZ,1590275908
dmytrivka,45.97,28.99,49.68,68,0,5.01,UA,1590275908
asau,46.43,26.4,45.0,82,56,3.69,RO,1590275908
northam,51.03,-4.22,54.0,90,92,11.01,GB,1590275908
longyearbyen,78.22,15.64,39.2,89,75,3.36,SJ,1590275908
misratah,32.38,15.09,66.92,66,0,9.66,LY,1590275908
kunashak,55.7,61.55,55.0,97,95,1.01,RU,1590275908
alofi,-19.06,-169.92,80.6,83,35,9.17,NU,1590275908
todos santos,23.45,-110.22,68.0,75,61,5.01,MX,1590275908
ciudad real,39.0,-4.0,73.99,44,4,3.0,ES,1590275908
revda,56.8,59.93,55.4,62,40,11.18,RU,1590275908
chatrapur,19.35,84.98,82.09,88,65,15.23,IN,1590275908
waitara,-38.92,174.25,57.99,67,100,5.99,NZ,1590275908
leningradskiy,69.38,178.42,30.34,97,100,10.31,RU,1590275908
minudasht,37.23,55.37,64.4,68,0,9.17,IR,1590275908
guerrero negro,27.98,-114.06,68.38,59,16,20.13,MX,1590275864
muros,42.78,-9.06,57.99,74,100,1.99,ES,1590275908
russell,32.35,-85.2,89.6,52,20,5.82,US,1590275909
richards bay,-28.78,32.04,62.87,79,0,3.36,ZA,1590275909
sabang,5.89,95.32,83.7,79,100,16.24,ID,1590275909
miskolc,48.1,20.78,50.85,93,86,2.82,HU,1590275909
hamilton,39.18,-84.53,72.0,83,90,8.05,US,1590275743
matina,10.08,-83.29,86.0,74,75,8.05,CR,1590275909
matara,5.95,80.54,80.62,86,81,10.67,LK,1590275909
monrovia,6.3,-10.8,79.54,83,61,4.12,LR,1590275909
reggio di calabria,38.11,15.66,66.99,63,5,3.36,IT,1590275800
auki,-8.77,160.7,86.34,66,83,1.05,SB,1590275909
babu,24.42,111.52,75.47,80,83,1.28,CN,1590275909
lima,-12.04,-77.03,64.4,77,71,9.17,PE,1590275873
grand forks,47.93,-97.03,77.0,44,75,8.05,US,1590275791
banda aceh,5.56,95.32,81.21,79,100,10.65,ID,1590275909
abu kamal,34.45,40.92,77.52,37,45,11.36,SY,1590275909
coihaique,-45.58,-72.07,50.0,100,75,5.82,CL,1590275897
voyvozh,62.89,54.96,36.72,83,69,4.76,RU,1590275909
mananara,-16.17,49.77,71.1,89,58,4.09,MG,1590275909
sao joao da barra,-21.64,-41.05,74.55,91,33,14.09,BR,1590275910
suda,59.15,37.56,36.91,90,28,3.76,RU,1590275910
port hedland,-20.32,118.57,60.8,41,29,12.75,AU,1590275910
valparaiso,-33.04,-71.63,71.6,24,16,13.87,CL,1590275824
clyde river,70.47,-68.59,26.6,100,90,11.41,CA,1590275910
sanming,26.25,117.62,73.29,83,0,0.54,CN,1590275910
sechura,-5.56,-80.82,73.29,65,17,18.21,PE,1590275910
hofn,64.25,-15.21,46.8,60,27,6.17,IS,1590275910
banjar,-8.19,114.97,82.4,100,20,6.93,ID,1590275910
castro,-24.79,-50.01,48.85,77,20,10.92,BR,1590275910
troutdale,45.54,-122.39,63.0,44,90,5.82,US,1590275681
nioro,13.35,-15.75,75.47,66,1,6.69,GM,1590275910
ambilobe,-13.2,49.05,71.64,84,0,4.38,MG,1590275910
antsohihy,-14.88,47.99,74.62,68,0,8.95,MG,1590275910
agaro,7.85,36.65,59.56,87,14,1.07,ET,1590275910
nakamura,32.98,132.93,69.76,80,81,6.71,JP,1590275911
adrar,20.5,-10.07,86.23,13,0,10.2,MR,1590275911
ballyshannon,54.5,-8.18,53.01,90,100,8.99,IE,1590275911
batemans bay,-35.72,150.18,61.0,60,58,5.01,AU,1590275911
adwa,14.16,38.9,67.42,48,0,1.74,ET,1590275911
luanda,-8.84,13.23,78.8,88,75,4.25,AO,1590275809
tura,25.52,90.22,72.72,97,26,6.38,IN,1590275911
surt,31.21,16.59,66.09,72,0,13.11,LY,1590275911
kaihua,23.37,104.28,66.06,94,96,4.0,CN,1590275911
chuy,-33.7,-53.46,58.6,83,99,14.9,UY,1590275911
amahai,-3.33,128.92,81.03,81,88,2.06,ID,1590275911
upernavik,72.79,-56.15,29.66,97,23,14.81,GL,1590275911
lazaro cardenas,17.96,-102.2,82.29,73,32,11.36,MX,1590275911
honningsvag,70.98,25.97,43.95,83,22,23.22,NO,1590275779
chiang khong,20.26,100.4,75.0,62,100,0.63,TH,1590275911
xining,36.62,101.77,44.56,73,100,2.42,CN,1590275911
svetlogorsk,52.63,29.73,40.15,90,7,3.24,BY,1590275911
longview,32.5,-94.74,82.4,65,1,10.29,US,1590275911
kandi,11.13,2.94,85.21,57,81,7.18,BJ,1590275911
bako,5.78,36.57,64.4,82,17,3.69,ET,1590275911
biak,-0.91,122.88,79.75,77,49,1.43,ID,1590275911
aksu,41.12,80.26,67.23,26,0,2.82,CN,1590275912
lasa,46.62,10.7,50.0,71,75,8.05,IT,1590275912
jardim,-21.48,-56.14,54.18,77,7,4.59,BR,1590275642
esperantinopolis,-4.87,-44.71,76.57,91,7,2.15,BR,1590275912
capreol,46.71,-80.92,84.2,21,40,8.05,CA,1590275912
chapais,49.78,-74.85,59.0,22,1,5.82,CA,1590275912
xai-xai,-25.05,33.64,64.8,85,0,1.86,MZ,1590275912
cabedelo,-6.98,-34.83,75.2,100,75,2.24,BR,1590275912
pochutla,15.74,-96.47,89.01,58,40,11.41,MX,1590275912
toamasina,-18.17,49.38,68.0,100,75,1.9,MG,1590275912
taltal,-25.4,-70.48,60.64,69,20,4.47,CL,1590275912
necochea,-38.55,-58.74,44.01,90,100,1.99,AR,1590275912
fairbanks,64.84,-147.72,71.01,23,1,5.12,US,1590275698
constitucion,-35.33,-72.42,57.74,51,29,8.63,CL,1590275734
san patricio,19.22,-104.7,80.6,74,5,17.22,MX,1590275912
hailey,43.52,-114.32,48.2,66,90,9.17,US,1590275912
rossland,49.08,-117.8,63.0,59,95,1.01,CA,1590275913
miri,4.41,114.01,78.8,94,75,8.05,MY,1590275913
fortuna,40.6,-124.16,62.01,67,20,16.11,US,1590275913
valverde del camino,37.58,-6.75,80.01,49,0,1.95,ES,1590275913
lakes entrance,-37.88,147.98,52.0,93,81,1.01,AU,1590275913
aktash,50.3,87.73,36.81,92,13,1.79,RU,1590275913
aykhal,66.0,111.5,62.6,39,63,4.47,RU,1590275913
chicama,-7.84,-79.15,70.16,72,61,7.45,PE,1590275913
maraba,-5.37,-49.12,80.6,94,75,2.04,BR,1590275913
barra do garcas,-15.89,-52.26,68.31,78,51,6.93,BR,1590275654
gamba,-2.65,10.0,78.78,90,66,5.28,GA,1590275913
fare,-16.7,-151.02,81.63,76,2,19.69,PF,1590275913
beyneu,45.32,55.2,72.73,53,2,11.01,KZ,1590275913
makarov,48.63,142.8,44.71,85,100,6.08,RU,1590275913
dudinka,69.41,86.18,51.8,87,75,8.95,RU,1590275913
siniscola,40.57,9.69,65.44,64,98,6.24,IT,1590275913
agustin codazzi,10.03,-73.24,85.03,70,88,3.51,CO,1590275913
totoral,-17.41,-70.36,62.33,37,0,0.72,PE,1590275913
la asuncion,11.03,-63.86,95.0,50,6,25.28,VE,1590275914
lucea,18.45,-78.17,84.2,79,20,3.36,JM,1590275914
bira,49.0,132.47,50.34,86,100,7.78,RU,1590275914
paka,4.64,103.44,78.8,100,64,1.12,MY,1590275914
valdivia,-39.81,-73.25,48.2,100,90,3.36,CL,1590275814
